Einkommen,Einfache Steuer Alleinstehende,EAinProzent,Einfache Steuer gemeinsam Steuerpflichtige,EgSinProzent
140’200,10’803.80,7.7060%,8’541.60,6.0924%
140’300,10’813.20,7.7072%,8’547.70,6.0924%
140’400,10’822.60,7.7084%,8’560.00,6.0969%
140’500,10’832.00,7.7096%,8’566.10,6.0969%
140’600,10’841.40,7.7108%,8’578.40,6.1013%
140’700,10’850.80,7.7120%,8’584.50,6.1013%
140’800,10’860.20,7.7132%,8’596.80,6.1057%
140’900,10’869.60,7.7144%,8’602.90,6.1057%
141’000,10’879.00,7.7156%,8’615.20,6.1101%
141’100,10’888.40,7.7168%,8’621.30,6.1101%
141’200,10’897.80,7.7180%,8’633.60,6.1144%
141’300,10’907.20,7.7192%,8’639.70,6.1144%
141’400,10’916.60,7.7204%,8’652.00,6.1188%
141’500,10’926.00,7.7216%,8’658.10,6.1188%
141’600,10’935.40,7.7227%,8’670.40,6.1232%
141’700,10’944.80,7.7239%,8’676.50,6.1232%
141’800,10’954.20,7.7251%,8’688.80,6.1275%
141’900,10’963.60,7.7263%,8’694.95,6.1275%
142’000,10’973.00,7.7275%,8’707.20,6.1318%
142’100,10’982.40,7.7286%,8’713.35,6.1318%
142’200,10’991.80,7.7298%,8’725.60,6.1361%
142’300,11’001.20,7.7310%,8’731.75,6.1361%
142’400,11’010.60,7.7322%,8’744.00,6.1404%
142’500,11’020.00,7.7333%,8’750.15,6.1404%
142’600,11’029.40,7.7345%,8’762.40,6.1447%
142’700,11’038.80,7.7357%,8’768.55,6.1447%
142’800,11’048.20,7.7368%,8’780.80,6.1490%
142’900,11’057.60,7.7380%,8’786.95,6.1490%
143’000,11’067.00,7.7392%,8’799.20,6.1533%
143’100,11’076.40,7.7403%,8’805.35,6.1533%
143’200,11’085.80,7.7415%,8’817.60,6.1575%
143’300,11’095.20,7.7426%,8’823.75,6.1575%
143’400,11’104.60,7.7438%,8’836.00,6.1618%
143’500,11’114.00,7.7449%,8’842.15,6.1618%
143’600,11’123.40,7.7461%,8’854.40,6.1660%
143’700,11’132.80,7.7473%,8’860.55,6.1660%
143’800,11’142.20,7.7484%,8’872.80,6.1702%
143’900,11’151.60,7.7495%,8’878.95,6.1702%
144’000,11’161.00,7.7507%,8’891.20,6.1744%
144’100,11’170.40,7.7518%,8’897.35,6.1744%
144’200,11’179.80,7.7530%,8’909.60,6.1786%
144’300,11’189.20,7.7541%,8’915.80,6.1786%
144’400,11’198.60,7.7553%,8’928.00,6.1828%
144’500,11’208.00,7.7564%,8’934.20,6.1828%
144’600,11’217.40,7.7575%,8’946.40,6.1870%
144’700,11’226.80,7.7587%,8’952.60,6.1870%
144’800,11’236.20,7.7598%,8’964.80,6.1912%
144’900,11’245.60,7.7609%,8’971.00,6.1912%
145’000,11’255.00,7.7621%,8’983.20,6.1953%
145’100,11’264.40,7.7632%,8’989.40,6.1953%
145’200,11’273.80,7.7643%,9’001.60,6.1994%
145’300,11’283.20,7.7655%,9’007.80,6.1994%
145’400,11’292.60,7.7666%,9’020.00,6.2036%
145’500,11’302.00,7.7677%,9’026.20,6.2036%
145’600,11’311.40,7.7688%,9’038.40,6.2077%
145’700,11’320.80,7.7699%,9’044.60,6.2077%
145’800,11’330.20,7.7711%,9’056.80,6.2118%
145’900,11’339.60,7.7722%,9’063.00,6.2118%
146’000,11’349.00,7.7733%,9’075.20,6.2159%
146’100,11’358.40,7.7744%,9’081.40,6.2159%
146’200,11’367.80,7.7755%,9’093.60,6.2200%
146’300,11’377.20,7.7766%,9’099.80,6.2200%
146’400,11’386.60,7.7777%,9’112.00,6.2240%
146’500,11’396.00,7.7788%,9’118.20,6.2240%
146’600,11’405.40,7.7799%,9’130.40,6.2281%
146’700,11’414.80,7.7810%,9’136.65,6.2281%
146’800,11’424.20,7.7822%,9’148.80,6.2322%
146’900,11’433.60,7.7833%,9’155.05,6.2322%
147’000,11’443.00,7.7844%,9’167.20,6.2362%
147’100,11’452.40,7.7855%,9’173.45,6.2362%
147’200,11’461.80,7.7865%,9’185.60,6.2402%
147’300,11’471.20,7.7876%,9’191.85,6.2402%
147’400,11’480.60,7.7887%,9’204.00,6.2442%
147’500,11’490.00,7.7898%,9’210.25,6.2442%
147’600,11’499.40,7.7909%,9’222.40,6.2482%
147’700,11’508.80,7.7920%,9’228.65,6.2482%
147’800,11’518.20,7.7931%,9’240.80,6.2522%
147’900,11’527.60,7.7942%,9’247.05,6.2522%
148’000,11’537.00,7.7953%,9’259.20,6.2562%
148’100,11’546.40,7.7964%,9’265.45,6.2562%
148’200,11’555.80,7.7974%,9’277.60,6.2602%
148’300,11’565.20,7.7985%,9’283.85,6.2602%
148’400,11’574.60,7.7996%,9’296.00,6.2642%
148’500,11’584.00,7.8007%,9’302.25,6.2642%
148’600,11’593.40,7.8017%,9’314.40,6.2681%
148’700,11’602.80,7.8028%,9’320.65,6.2681%
148’800,11’612.20,7.8039%,9’332.80,6.2720%
148’900,11’621.60,7.8050%,9’339.05,6.2720%
149’000,11’631.00,7.8060%,9’351.20,6.2760%
149’100,11’640.40,7.8071%,9’357.50,6.2760%
149’200,11’649.80,7.8082%,9’369.60,6.2799%
149’300,11’659.20,7.8092%,9’375.90,6.2799%
149’400,11’668.60,7.8103%,9’388.00,6.2838%
149’500,11’678.00,7.8114%,9’394.30,6.2838%
149’600,11’687.40,7.8124%,9’406.40,6.2877%
149’700,11’696.80,7.8135%,9’412.70,6.2877%
149’800,11’706.20,7.8146%,9’424.80,6.2916%
149’900,11’715.60,7.8156%,9’431.10,6.2916%
150’000,11’725.00,7.8167%,9’443.20,6.2955%
150’100,11’734.40,7.8177%,9’449.50,6.2955%
150’200,11’743.80,7.8188%,9’461.60,6.2993%
150’300,11’753.20,7.8198%,9’467.90,6.2993%
150’400,11’762.60,7.8209%,9’480.00,6.3032%
150’500,11’772.00,7.8219%,9’486.30,6.3032%
150’600,11’781.40,7.8230%,9’498.40,6.3070%
150’700,11’790.80,7.8240%,9’504.70,6.3070%
150’800,11’800.20,7.8251%,9’516.80,6.3109%
150’900,11’809.60,7.8261%,9’523.10,6.3109%
151’000,11’819.00,7.8272%,9’535.20,6.3147%
151’100,11’828.40,7.8282%,9’541.50,6.3147%
151’200,11’837.80,7.8292%,9’553.60,6.3185%
151’300,11’847.20,7.8303%,9’559.90,6.3185%
151’400,11’856.60,7.8313%,9’572.00,6.3223%
151’500,11’866.00,7.8323%,9’578.30,6.3223%
151’600,11’875.40,7.8334%,9’590.40,6.3261%
151’700,11’884.80,7.8344%,9’596.75,6.3261%
151’800,11’894.20,7.8354%,9’608.80,6.3299%
151’900,11’903.60,7.8365%,9’615.15,6.3299%
152’000,11’913.00,7.8375%,9’627.20,6.3337%
152’100,11’922.40,7.8385%,9’633.55,6.3337%
152’200,11’931.80,7.8396%,9’645.60,6.3375%
152’300,11’941.20,7.8406%,9’651.95,6.3375%
152’400,11’950.60,7.8416%,9’664.00,6.3412%
152’500,11’960.00,7.8426%,9’670.35,6.3412%
152’600,11’969.40,7.8436%,9’682.40,6.3450%
152’700,11’978.80,7.8447%,9’688.75,6.3450%
152’800,11’988.20,7.8457%,9’700.80,6.3487%
152’900,11’997.60,7.8467%,9’707.15,6.3487%
153’000,12’007.00,7.8477%,9’719.20,6.3524%
153’100,12’016.40,7.8487%,9’725.55,6.3524%
153’200,12’025.80,7.8497%,9’737.60,6.3561%
153’300,12’035.20,7.8508%,9’743.95,6.3561%
153’400,12’044.60,7.8518%,9’756.00,6.3598%
153’500,12’054.00,7.8528%,9’762.35,6.3598%
153’600,12’063.40,7.8538%,9’774.40,6.3635%
153’700,12’072.80,7.8548%,9’780.75,6.3635%
153’800,12’082.20,7.8558%,9’792.80,6.3672%
153’900,12’091.60,7.8568%,9’799.15,6.3672%
154’000,12’101.00,7.8578%,9’811.20,6.3709%
154’100,12’110.40,7.8588%,9’817.55,6.3709%
154’200,12’119.80,7.8598%,9’829.60,6.3746%
154’300,12’129.20,7.8608%,9’835.95,6.3746%
154’400,12’138.60,7.8618%,9’848.00,6.3782%
154’500,12’148.00,7.8628%,9’854.40,6.3782%
154’600,12’157.40,7.8638%,9’866.40,6.3819%
154’700,12’166.80,7.8648%,9’872.80,6.3819%
154’800,12’176.20,7.8658%,9’884.80,6.3855%
154’900,12’185.60,7.8668%,9’891.20,6.3855%
155’000,12’195.00,7.8677%,9’903.20,6.3892%
155’100,12’204.40,7.8687%,9’909.60,6.3892%
155’200,12’213.80,7.8697%,9’921.60,6.3928%
155’300,12’223.20,7.8707%,9’928.00,6.3928%
155’400,12’232.60,7.8717%,9’940.00,6.3964%
155’500,12’242.00,7.8727%,9’946.40,6.3964%
155’600,12’251.40,7.8737%,9’958.40,6.4000%
155’700,12’260.80,7.8746%,9’964.80,6.4000%
155’800,12’270.20,7.8756%,9’976.80,6.4036%
155’900,12’279.60,7.8766%,9’983.20,6.4036%
156’000,12’289.00,7.8776%,9’995.20,6.4072%
156’100,12’298.40,7.8785%,10’001.60,6.4072%
156’200,12’307.80,7.8795%,10’013.60,6.4108%
156’300,12’317.20,7.8805%,10’020.00,6.4108%
156’400,12’326.60,7.8815%,10’032.00,6.4143%
156’500,12’336.00,7.8824%,10’038.40,6.4143%
156’600,12’345.40,7.8834%,10’050.40,6.4179%
156’700,12’354.80,7.8844%,10’056.80,6.4179%
156’800,12’364.20,7.8853%,10’068.80,6.4214%
156’900,12’373.60,7.8863%,10’075.20,6.4214%
157’000,12’383.00,7.8873%,10’087.20,6.4250%
157’100,12’392.40,7.8882%,10’093.60,6.4250%
157’200,12’401.80,7.8892%,10’105.60,6.4285%
157’300,12’411.20,7.8901%,10’112.05,6.4285%
157’400,12’420.60,7.8911%,10’124.00,6.4320%
157’500,12’430.00,7.8921%,10’130.45,6.4320%
157’600,12’439.40,7.8930%,10’142.40,6.4355%
157’700,12’448.80,7.8940%,10’148.85,6.4355%
157’800,12’458.20,7.8949%,10’160.80,6.4390%
157’900,12’467.60,7.8959%,10’167.25,6.4390%
158’000,12’477.00,7.8968%,10’179.20,6.4425%
158’100,12’486.40,7.8978%,10’185.65,6.4425%
158’200,12’495.80,7.8987%,10’197.60,6.4460%
158’300,12’505.20,7.8997%,10’204.05,6.4460%
158’400,12’514.60,7.9006%,10’216.00,6.4495%
158’500,12’524.00,7.9016%,10’222.45,6.4495%
158’600,12’533.40,7.9025%,10’234.40,6.4530%
158’700,12’542.80,7.9035%,10’240.85,6.4530%
158’800,12’552.20,7.9044%,10’252.80,6.4564%
158’900,12’561.60,7.9053%,10’259.25,6.4564%
159’000,12’571.00,7.9063%,10’271.20,6.4599%
159’100,12’580.40,7.9072%,10’277.65,6.4599%
159’200,12’589.80,7.9082%,10’289.60,6.4633%
159’300,12’599.20,7.9091%,10’296.05,6.4633%
159’400,12’608.60,7.9100%,10’308.00,6.4668%
159’500,12’618.00,7.9110%,10’314.45,6.4668%
159’600,12’627.40,7.9119%,10’326.40,6.4702%
159’700,12’636.80,7.9128%,10’332.85,6.4702%
159’800,12’646.20,7.9138%,10’344.80,6.4736%
159’900,12’655.60,7.9147%,10’351.25,6.4736%
160’000,12’665.00,7.9156%,10’363.20,6.4770%
160’100,12’674.40,7.9166%,10’369.70,6.4770%
160’200,12’683.80,7.9175%,10’381.60,6.4804%
160’300,12’693.20,7.9184%,10’388.10,6.4804%
160’400,12’702.60,7.9193%,10’400.00,6.4838%
160’500,12’712.00,7.9202%,10’406.50,6.4838%
160’600,12’721.40,7.9212%,10’418.40,6.4872%
160’700,12’730.80,7.9221%,10’424.90,6.4872%
160’800,12’740.20,7.9230%,10’436.80,6.4905%
160’900,12’749.60,7.9239%,10’443.30,6.4905%
161’000,12’759.00,7.9248%,10’455.20,6.4939%
161’100,12’768.40,7.9258%,10’461.70,6.4939%
161’200,12’777.80,7.9267%,10’473.60,6.4973%
161’300,12’787.20,7.9276%,10’480.10,6.4973%
161’400,12’796.60,7.9285%,10’492.00,6.5006%
161’500,12’806.00,7.9294%,10’498.50,6.5006%
161’600,12’815.40,7.9303%,10’510.40,6.5040%
161’700,12’824.80,7.9312%,10’516.90,6.5040%
161’800,12’834.20,7.9321%,10’528.80,6.5073%
161’900,12’843.60,7.9330%,10’535.30,6.5073%
162’000,12’853.00,7.9340%,10’547.20,6.5106%
162’100,12’862.40,7.9349%,10’553.70,6.5106%
162’200,12’871.80,7.9358%,10’565.60,6.5139%
162’300,12’881.20,7.9367%,10’572.10,6.5139%
162’400,12’890.60,7.9376%,10’584.00,6.5172%
162’500,12’900.00,7.9385%,10’590.50,6.5172%
162’600,12’909.40,7.9394%,10’602.40,6.5205%
162’700,12’918.80,7.9403%,10’608.90,6.5205%
162’800,12’928.20,7.9412%,10’620.80,6.5238%
162’900,12’937.60,7.9421%,10’627.30,6.5238%
163’000,12’947.00,7.9429%,10’639.20,6.5271%
163’100,12’956.40,7.9438%,10’645.75,6.5271%
163’200,12’965.80,7.9447%,10’657.60,6.5304%
163’300,12’975.20,7.9456%,10’664.15,6.5304%
163’400,12’984.60,7.9465%,10’676.00,6.5337%
163’500,12’994.00,7.9474%,10’682.55,6.5337%
163’600,13’003.40,7.9483%,10’694.40,6.5369%
163’700,13’012.80,7.9492%,10’700.95,6.5369%
163’800,13’022.20,7.9501%,10’712.80,6.5402%
163’900,13’031.60,7.9509%,10’719.35,6.5402%
164’000,13’041.00,7.9518%,10’731.20,6.5434%
164’100,13’050.40,7.9527%,10’737.75,6.5434%
164’200,13’059.80,7.9536%,10’749.60,6.5467%
164’300,13’069.20,7.9545%,10’756.15,6.5467%
164’400,13’078.60,7.9554%,10’768.00,6.5499%
164’500,13’088.00,7.9562%,10’774.55,6.5499%
164’600,13’097.40,7.9571%,10’786.40,6.5531%
164’700,13’106.80,7.9580%,10’792.95,6.5531%
164’800,13’116.20,7.9589%,10’804.80,6.5563%
164’900,13’125.60,7.9597%,10’811.35,6.5563%
165’000,13’135.00,7.9606%,10’823.20,6.5595%
165’100,13’144.40,7.9615%,10’829.75,6.5595%
165’200,13’153.80,7.9623%,10’841.60,6.5627%
165’300,13’163.20,7.9632%,10’848.15,6.5627%
165’400,13’172.60,7.9641%,10’860.00,6.5659%
165’500,13’182.00,7.9650%,10’866.55,6.5659%
165’600,13’191.40,7.9658%,10’878.40,6.5691%
165’700,13’200.80,7.9667%,10’884.95,6.5691%
165’800,13’210.20,7.9676%,10’896.80,6.5723%
165’900,13’219.60,7.9684%,10’903.35,6.5723%
166’000,13’229.00,7.9693%,10’915.20,6.5754%
166’100,13’238.40,7.9701%,10’921.80,6.5754%
166’200,13’247.80,7.9710%,10’933.60,6.5786%
166’300,13’257.20,7.9719%,10’940.20,6.5786%
166’400,13’266.60,7.9727%,10’952.00,6.5817%
166’500,13’276.00,7.9736%,10’958.60,6.5817%
166’600,13’285.40,7.9744%,10’970.40,6.5849%
166’700,13’294.80,7.9753%,10’977.00,6.5849%
166’800,13’304.20,7.9761%,10’988.80,6.5880%
166’900,13’313.60,7.9770%,10’995.40,6.5880%
167’000,13’323.00,7.9778%,11’007.20,6.5911%
167’100,13’332.40,7.9787%,11’013.80,6.5911%
167’200,13’341.80,7.9795%,11’025.60,6.5943%
167’300,13’351.20,7.9804%,11’032.20,6.5943%
167’400,13’360.60,7.9812%,11’044.00,6.5974%
167’500,13’370.00,7.9821%,11’050.60,6.5974%
167’600,13’379.40,7.9829%,11’062.40,6.6005%
167’700,13’388.80,7.9838%,11’069.00,6.6005%
167’800,13’398.20,7.9846%,11’080.80,6.6036%
167’900,13’407.60,7.9855%,11’087.40,6.6036%
168’000,13’417.00,7.9863%,11’099.20,6.6067%
168’100,13’426.40,7.9872%,11’105.80,6.6067%
168’200,13’435.80,7.9880%,11’117.60,6.6098%
168’300,13’445.20,7.9888%,11’124.20,6.6098%
168’400,13’454.60,7.9897%,11’136.00,6.6128%
168’500,13’464.00,7.9905%,11’142.60,6.6128%
168’600,13’473.40,7.9913%,11’154.40,6.6159%
168’700,13’482.80,7.9922%,11’161.00,6.6159%
168’800,13’492.20,7.9930%,11’172.80,6.6190%
168’900,13’501.60,7.9938%,11’179.40,6.6190%
169’000,13’511.00,7.9947%,11’191.20,6.6220%
169’100,13’520.40,7.9955%,11’197.80,6.6220%
169’200,13’529.80,7.9963%,11’209.60,6.6251%
169’300,13’539.20,7.9972%,11’216.25,6.6251%
169’400,13’548.60,7.9980%,11’228.00,6.6281%
169’500,13’558.00,7.9988%,11’234.65,6.6281%
169’600,13’567.40,7.9996%,11’246.40,6.6311%
169’700,13’576.80,8.0005%,11’253.05,6.6311%
169’800,13’586.20,8.0013%,11’264.80,6.6342%
169’900,13’595.60,8.0021%,11’271.45,6.6342%
170’000,13’605.00,8.0029%,11’283.20,6.6372%
170’100,13’614.40,8.0038%,11’289.85,6.6372%
170’200,13’623.80,8.0046%,11’301.60,6.6402%
170’300,13’633.20,8.0054%,11’308.25,6.6402%
170’400,13’642.60,8.0062%,11’320.00,6.6432%
170’500,13’652.00,8.0070%,11’326.65,6.6432%
170’600,13’661.40,8.0079%,11’338.40,6.6462%
170’700,13’670.80,8.0087%,11’345.05,6.6462%
170’800,13’680.20,8.0095%,11’356.80,6.6492%
170’900,13’689.60,8.0103%,11’363.45,6.6492%
171’000,13’699.00,8.0111%,11’375.20,6.6522%
171’100,13’708.40,8.0119%,11’381.85,6.6522%
171’200,13’717.80,8.0127%,11’393.60,6.6551%
171’300,13’727.20,8.0135%,11’400.25,6.6551%
171’400,13’736.60,8.0144%,11’412.00,6.6581%
171’500,13’746.00,8.0152%,11’418.65,6.6581%
171’600,13’755.40,8.0160%,11’430.40,6.6611%
171’700,13’764.80,8.0168%,11’437.05,6.6611%
171’800,13’774.20,8.0176%,11’448.80,6.6640%
171’900,13’783.60,8.0184%,11’455.45,6.6640%
172’000,13’793.00,8.0192%,11’467.20,6.6670%
172’100,13’802.40,8.0200%,11’473.85,6.6670%
172’200,13’811.80,8.0208%,11’485.60,6.6699%
172’300,13’821.20,8.0216%,11’492.25,6.6699%
172’400,13’830.60,8.0224%,11’504.00,6.6729%
172’500,13’840.00,8.0232%,11’510.65,6.6729%
172’600,13’849.40,8.0240%,11’522.40,6.6758%
172’700,13’858.80,8.0248%,11’529.10,6.6758%
172’800,13’868.20,8.0256%,11’540.80,6.6787%
172’900,13’877.60,8.0264%,11’547.50,6.6787%
173’000,13’887.00,8.0272%,11’559.20,6.6816%
173’100,13’896.40,8.0280%,11’565.90,6.6816%
173’200,13’905.80,8.0288%,11’577.60,6.6845%
173’300,13’915.20,8.0295%,11’584.30,6.6845%
173’400,13’924.60,8.0303%,11’596.00,6.6874%
173’500,13’934.00,8.0311%,11’602.70,6.6874%
173’600,13’943.40,8.0319%,11’614.40,6.6903%
173’700,13’952.80,8.0327%,11’621.10,6.6903%
173’800,13’962.20,8.0335%,11’632.80,6.6932%
173’900,13’971.60,8.0343%,11’639.50,6.6932%
174’000,13’981.00,8.0351%,11’651.20,6.6961%
174’100,13’990.40,8.0358%,11’657.90,6.6961%
174’200,13’999.80,8.0366%,11’669.60,6.6990%
174’300,14’009.20,8.0374%,11’676.30,6.6990%
174’400,14’018.60,8.0382%,11’688.00,6.7018%
174’500,14’028.00,8.0390%,11’694.70,6.7018%
174’600,14’037.40,8.0397%,11’706.40,6.7047%
174’700,14’046.80,8.0405%,11’713.10,6.7047%
174’800,14’056.20,8.0413%,11’724.80,6.7076%
174’900,14’065.60,8.0421%,11’731.50,6.7076%
175’000,14’075.00,8.0429%,11’743.20,6.7104%
175’100,14’084.40,8.0436%,11’749.90,6.7104%
175’200,14’093.80,8.0444%,11’761.60,6.7132%
175’300,14’103.20,8.0452%,11’768.30,6.7132%
175’400,14’112.60,8.0460%,11’780.00,6.7161%
175’500,14’122.00,8.0467%,11’786.70,6.7161%
175’600,14’131.40,8.0475%,11’798.40,6.7189%
175’700,14’140.80,8.0483%,11’805.10,6.7189%
175’800,14’150.20,8.0490%,11’816.80,6.7217%
175’900,14’159.60,8.0498%,11’823.50,6.7217%
176’000,14’169.00,8.0506%,11’835.20,6.7245%
176’100,14’178.40,8.0513%,11’841.90,6.7245%
176’200,14’187.80,8.0521%,11’853.60,6.7274%
176’300,14’197.20,8.0529%,11’860.35,6.7274%
176’400,14’206.60,8.0536%,11’872.00,6.7302%
176’500,14’216.00,8.0544%,11’878.75,6.7302%
176’600,14’225.40,8.0552%,11’890.40,6.7330%
176’700,14’234.80,8.0559%,11’897.15,6.7330%
176’800,14’244.20,8.0567%,11’908.80,6.7357%
176’900,14’253.60,8.0574%,11’915.55,6.7357%
177’000,14’263.00,8.0582%,11’927.20,6.7385%
177’100,14’272.40,8.0589%,11’933.95,6.7385%
177’200,14’281.80,8.0597%,11’945.60,6.7413%
177’300,14’291.20,8.0605%,11’952.35,6.7413%
177’400,14’300.60,8.0612%,11’964.00,6.7441%
177’500,14’310.00,8.0620%,11’970.75,6.7441%
177’600,14’319.40,8.0627%,11’982.40,6.7468%
177’700,14’328.80,8.0635%,11’989.15,6.7468%
177’800,14’338.20,8.0642%,12’000.80,6.7496%
177’900,14’347.60,8.0650%,12’007.55,6.7496%
178’000,14’357.00,8.0657%,12’019.20,6.7524%
178’100,14’366.40,8.0665%,12’025.95,6.7524%
178’200,14’375.80,8.0672%,12’037.60,6.7551%
178’300,14’385.20,8.0680%,12’044.35,6.7551%
178’400,14’394.60,8.0687%,12’056.00,6.7578%
178’500,14’404.00,8.0695%,12’062.75,6.7578%
178’600,14’413.40,8.0702%,12’074.40,6.7606%
178’700,14’422.80,8.0710%,12’081.15,6.7606%
178’800,14’432.20,8.0717%,12’092.80,6.7633%
178’900,14’441.60,8.0724%,12’099.55,6.7633%
179’000,14’451.00,8.0732%,12’111.20,6.7660%
179’100,14’460.40,8.0739%,12’117.95,6.7660%
179’200,14’469.80,8.0747%,12’129.60,6.7688%
179’300,14’479.20,8.0754%,12’136.35,6.7688%
179’400,14’488.60,8.0761%,12’148.00,6.7715%
179’500,14’498.00,8.0769%,12’154.75,6.7715%
179’600,14’507.40,8.0776%,12’166.40,6.7742%
179’700,14’516.80,8.0784%,12’173.15,6.7742%
179’800,14’526.20,8.0791%,12’184.80,6.7769%
179’900,14’535.60,8.0798%,12’191.60,6.7769%
180’000,14’545.00,8.0806%,12’203.20,6.7796%
180’100,14’554.40,8.0813%,12’210.00,6.7796%
180’200,14’563.80,8.0820%,12’221.60,6.7822%
180’300,14’573.20,8.0828%,12’228.40,6.7822%
180’400,14’582.60,8.0835%,12’240.00,6.7849%
180’500,14’592.00,8.0842%,12’246.80,6.7849%
180’600,14’601.40,8.0849%,12’258.40,6.7876%
180’700,14’610.80,8.0857%,12’265.20,6.7876%
180’800,14’620.20,8.0864%,12’276.80,6.7903%
180’900,14’629.60,8.0871%,12’283.60,6.7903%
181’000,14’639.00,8.0878%,12’295.20,6.7929%
181’100,14’648.40,8.0886%,12’302.00,6.7929%
181’200,14’657.80,8.0893%,12’313.60,6.7956%
181’300,14’667.20,8.0900%,12’320.40,6.7956%
181’400,14’676.60,8.0907%,12’332.00,6.7982%
181’500,14’686.00,8.0915%,12’338.80,6.7982%
181’600,14’695.40,8.0922%,12’350.40,6.8009%
181’700,14’704.80,8.0929%,12’357.20,6.8009%
181’800,14’714.20,8.0936%,12’368.80,6.8035%
181’900,14’723.60,8.0943%,12’375.60,6.8035%
182’000,14’733.00,8.0951%,12’387.20,6.8062%
182’100,14’742.40,8.0958%,12’394.00,6.8062%
182’200,14’751.80,8.0965%,12’405.60,6.8088%
182’300,14’761.20,8.0972%,12’412.40,6.8088%
182’400,14’770.60,8.0979%,12’424.00,6.8114%
182’500,14’780.00,8.0986%,12’430.80,6.8114%
182’600,14’789.40,8.0993%,12’442.40,6.8140%
182’700,14’798.80,8.1001%,12’449.20,6.8140%
182’800,14’808.20,8.1008%,12’460.80,6.8166%
182’900,14’817.60,8.1015%,12’467.60,6.8166%
183’000,14’827.00,8.1022%,12’479.20,6.8192%
183’100,14’836.40,8.1029%,12’486.00,6.8192%
183’200,14’845.80,8.1036%,12’497.60,6.8218%
183’300,14’855.20,8.1043%,12’504.40,6.8218%
183’400,14’864.60,8.1050%,12’516.00,6.8244%
183’500,14’874.00,8.1057%,12’522.80,6.8244%
183’600,14’883.40,8.1064%,12’534.40,6.8270%
183’700,14’892.80,8.1071%,12’541.25,6.8270%
183’800,14’902.20,8.1078%,12’552.80,6.8296%
183’900,14’911.60,8.1085%,12’559.65,6.8296%
184’000,14’921.00,8.1092%,12’571.20,6.8322%
184’100,14’930.40,8.1099%,12’578.05,6.8322%
184’200,14’939.80,8.1106%,12’589.60,6.8347%
184’300,14’949.20,8.1113%,12’596.45,6.8347%
184’400,14’958.60,8.1120%,12’608.00,6.8373%
184’500,14’968.00,8.1127%,12’614.85,6.8373%
184’600,14’977.40,8.1134%,12’626.40,6.8399%
184’700,14’986.80,8.1141%,12’633.25,6.8399%
184’800,14’996.20,8.1148%,12’644.80,6.8424%
184’900,15’005.60,8.1155%,12’651.65,6.8424%
185’000,15’015.00,8.1162%,12’663.20,6.8450%
185’100,15’024.40,8.1169%,12’670.05,6.8450%
185’200,15’033.80,8.1176%,12’681.60,6.8475%
185’300,15’043.20,8.1183%,12’688.45,6.8475%
185’400,15’052.60,8.1190%,12’700.00,6.8501%
185’500,15’062.00,8.1197%,12’706.85,6.8501%
185’600,15’071.40,8.1204%,12’718.40,6.8526%
185’700,15’080.80,8.1211%,12’725.25,6.8526%
185’800,15’090.20,8.1217%,12’736.80,6.8551%
185’900,15’099.60,8.1224%,12’743.65,6.8551%
186’000,15’109.00,8.1231%,12’755.20,6.8576%
186’100,15’118.40,8.1238%,12’762.05,6.8576%
186’200,15’127.80,8.1245%,12’773.60,6.8602%
186’300,15’137.20,8.1252%,12’780.45,6.8602%
186’400,15’146.60,8.1259%,12’792.00,6.8627%
186’500,15’156.00,8.1265%,12’798.85,6.8627%
186’600,15’165.40,8.1272%,12’810.40,6.8652%
186’700,15’174.80,8.1279%,12’817.25,6.8652%
186’800,15’184.20,8.1286%,12’828.80,6.8677%
186’900,15’193.60,8.1293%,12’835.65,6.8677%
187’000,15’203.00,8.1299%,12’847.20,6.8702%
187’100,15’212.40,8.1306%,12’854.05,6.8702%
187’200,15’221.80,8.1313%,12’865.60,6.8726%
187’300,15’231.20,8.1320%,12’872.45,6.8726%
187’400,15’240.60,8.1327%,12’884.00,6.8751%
187’500,15’250.00,8.1333%,12’890.90,6.8751%
187’600,15’259.40,8.1340%,12’902.40,6.8776%
187’700,15’268.80,8.1347%,12’909.30,6.8776%
187’800,15’278.20,8.1354%,12’920.80,6.8801%
187’900,15’287.60,8.1360%,12’927.70,6.8801%
188’000,15’297.00,8.1367%,12’939.20,6.8826%
188’100,15’306.40,8.1374%,12’946.10,6.8826%
188’200,15’315.80,8.1380%,12’957.60,6.8850%
188’300,15’325.20,8.1387%,12’964.50,6.8850%
188’400,15’334.60,8.1394%,12’976.00,6.8875%
188’500,15’344.00,8.1401%,12’982.90,6.8875%
188’600,15’353.40,8.1407%,12’994.40,6.8899%
188’700,15’362.80,8.1414%,13’001.30,6.8899%
188’800,15’372.20,8.1421%,13’012.80,6.8924%
188’900,15’381.60,8.1427%,13’019.70,6.8924%
189’000,15’391.00,8.1434%,13’031.20,6.8948%
189’100,15’400.40,8.1441%,13’038.10,6.8948%
189’200,15’409.80,8.1447%,13’049.60,6.8973%
189’300,15’419.20,8.1454%,13’056.50,6.8973%
189’400,15’428.60,8.1460%,13’068.00,6.8997%
189’500,15’438.00,8.1467%,13’074.90,6.8997%
189’600,15’447.40,8.1474%,13’086.40,6.9021%
189’700,15’456.80,8.1480%,13’093.30,6.9021%
189’800,15’466.20,8.1487%,13’104.80,6.9045%
